Raman Shift (1/cm),Intensity (Counts)
673.54,1146
673.848,1127
674.154,1134
674.461,1143
674.767,1146
675.073,1135
675.38,1149
675.686,1132
675.993,1126
676.299,1140
676.605,1144
676.912,1129
677.218,1138
677.525,1135
677.831,1135
678.137,1145
678.444,1110
678.749,1122
679.055,1134
679.362,1141
679.668,1125
679.974,1140
680.281,1130
680.586,1132
680.892,1140
681.199,1136
681.505,1135
681.81,1136
682.116,1141
682.423,1144
682.729,1140
683.034,1134
683.34,1144
683.647,1132
683.952,1135
684.258,1142
684.563,1136
684.87,1150
685.176,1147
685.481,1143
685.786,1128
686.092,1148
686.399,1140
686.704,1140
687.01,1150
687.315,1140
687.62,1144
687.926,1138
688.232,1145
688.538,1136
688.843,1148
689.148,1120
689.454,1132
689.759,1146
690.064,1138
690.37,1132
690.676,1143
690.982,1140
691.287,1138
691.592,1134
691.897,1137
692.202,1140
692.508,1133
692.813,1130
693.118,1131
693.423,1142
693.728,1145
694.033,1139
694.338,1146
694.643,1142
694.949,1144
695.254,1136
695.559,1132
695.864,1152
696.169,1139
696.474,1146
696.779,1147
697.084,1138
697.389,1137
697.694,1138
697.999,1133
698.304,1123
698.609,1146
698.914,1135
699.219,1158
699.523,1126
699.828,1150
700.132,1134
700.437,1144
700.742,1127
701.046,1138
701.351,1138
701.656,1134
701.961,1147
702.266,1138
702.569,1141
702.874,1126
703.178,1122
703.483,1134
703.788,1132
704.093,1144
704.396,1133
704.701,1132
705.005,1153
705.31,1136
705.615,1122
705.918,1122
706.223,1127
706.527,1145
706.832,1122
707.135,1130
707.44,1150
707.744,1122
708.049,1146
708.352,1155
708.656,1136
708.961,1134
709.264,1132
709.569,1142
709.873,1122
710.177,1149
710.481,1142
710.785,1139
711.089,1137
711.392,1120
711.697,1141
712.001,1141
712.304,1137
712.609,1143
712.912,1139
713.216,1129
713.52,1144
713.823,1134
714.128,1144
714.432,1148
714.735,1141
715.039,1136
715.342,1149
715.646,1136
715.949,1141
716.253,1128
716.557,1134
716.86,1132
717.164,1132
717.467,1142
717.771,1124
718.074,1127
718.378,1135
718.681,1142
718.985,1134
719.288,1106
719.592,1142
719.895,1136
720.199,1140
720.501,1124
720.805,1122
721.108,1126
721.411,1137
721.715,1136
722.017,1128
722.321,1141
722.624,1148
722.928,1133
723.23,1150
723.533,1134
723.837,1133
724.139,1144
724.443,1124
724.746,1131
725.048,1143
725.352,1128
725.655,1135
725.957,1124
726.261,1156
726.563,1124
726.866,1135
727.169,1138
727.472,1145
727.774,1134
728.078,1133
728.38,1136
728.683,1144
728.986,1126
729.289,1139
729.591,1140
729.893,1122
730.197,1142
730.499,1124
730.801,1132
731.104,1136
731.407,1134
731.71,1133
732.012,1136
732.314,1127
732.617,1140
732.92,1134
733.222,1137
733.524,1132
733.826,1139
734.128,1139
734.432,1137
734.734,1146
735.036,1138
735.338,1130
735.64,1129
735.942,1127
736.246,1132
736.548,1133
736.85,1134
737.152,1128
737.454,1126
737.755,1127
738.057,1138
738.359,1136
738.661,1142
738.963,1136
739.265,1139
739.568,1118
739.87,1133
740.172,1135
740.474,1124
740.776,1128
741.078,1116
741.38,1122
741.681,1126
741.983,1125
742.285,1124
742.587,1130
742.889,1132
743.19,1144
743.492,1136
743.794,1120
744.096,1136
744.397,1151
744.699,1137
744.999,1136
745.301,1128
745.603,1124
745.904,1127
746.206,1146
746.508,1126
746.809,1138
747.111,1136
747.412,1134
747.714,1126
748.015,1130
748.316,1129
748.617,1142
748.919,1134
749.22,1120
749.522,1141
749.823,1141
750.125,1127
750.425,1147
750.726,1132
751.028,1136
751.329,1140
751.63,1144
751.931,1143
752.232,1130
752.533,1138
752.835,1125
753.135,1138
753.436,1135
753.737,1136
754.039,1137
754.339,1130
754.64,1136
754.941,1142
755.242,1138
755.542,1144
755.844,1136
756.145,1124
756.445,1132
756.746,1130
757.047,1139
757.347,1151
757.648,1145
757.949,1134
758.249,1131
758.55,1126
758.851,1131
759.151,1136
759.452,1136
759.753,1132
760.053,1134
760.354,1125
760.654,1140
760.955,1130
761.256,1145
761.555,1130
761.856,1125
762.156,1137
762.457,1144
762.757,1128
763.058,1122
763.358,1132
763.658,1142
763.959,1136
764.258,1135
764.559,1133
764.859,1130
765.16,1132
765.459,1130
765.76,1120
766.06,1134
766.36,1131
766.66,1136
766.961,1136
767.26,1133
767.559,1131
767.86,1132
768.16,1145
768.46,1137
768.76,1140
769.06,1141
769.36,1141
769.659,1116
769.96,1135
770.259,1136
770.56,1122
770.859,1137
771.158,1130
771.459,1132
771.758,1122
772.057,1128
772.358,1122
772.657,1145
772.956,1134
773.257,1136
773.556,1128
773.855,1128
774.156,1132
774.455,1124
774.754,1131
775.054,1129
775.354,1129
775.653,1136
775.952,1136
776.252,1128
776.551,1142
776.85,1126
777.149,1138
777.45,1142
777.749,1142
778.048,1122
778.346,1128
778.645,1141
778.946,1137
