Raman Shift (1/cm),Intensity (Counts)
770.199,1612.46
770.671,1630.88
771.144,1611.26
771.618,1597.29
772.089,1592.6
772.563,1619.09
773.036,1596.45
773.508,1615.46
773.981,1619.56
774.455,1587.48
774.926,1629.86
775.399,1621.42
775.873,1633.86
776.344,1645.89
776.817,1640.19
777.288,1687.49
777.762,1674.91
778.235,1733.84
778.706,1749.2
779.179,1800.32
779.65,1866.13
780.123,1948.92
780.596,2080.07
781.068,2235.89
781.541,2367.87
782.012,2526.02
782.484,2618.94
782.955,2631.67
783.428,2554.46
783.899,2480.77
784.372,2368.74
784.843,2296.33
785.316,2280.68
785.789,2247.7
786.259,2258.76
786.732,2345.85
787.203,2423.61
787.674,2524.35
788.146,2647.82
788.617,2790.51
789.089,2920.08
789.56,3031.15
790.033,3146.94
790.503,3228.88
790.976,3231.57
791.446,3191.03
791.919,3018
792.389,2862.72
792.86,2651.14
793.332,2511.4
793.802,2365.31
794.275,2259.44
794.745,2173.19
795.215,2067.17
795.688,1995.39
796.158,1958.55
796.63,1905.29
797.1,1871.68
797.571,1840.1
798.043,1783.37
798.513,1769.04
798.983,1759.53
799.455,1724.31
799.925,1715.77
800.395,1713.6
800.867,1686.98
801.337,1700.13
801.807,1676.91
802.279,1661.13
802.749,1635.1
803.219,1652.83
803.254,1654
803.73,1670
804.206,1623
804.682,1626
805.157,1654
805.633,1596
806.109,1612
806.584,1645
807.06,1627
807.536,1630
808.011,1631
808.487,1621
808.962,1592
809.438,1629
809.913,1629
810.389,1622
810.864,1591
811.339,1594
811.815,1611
812.29,1600
812.766,1612
813.241,1574
813.716,1603
814.191,1598
814.667,1578
815.142,1580
815.617,1560
816.092,1566
816.567,1598
817.042,1571
817.517,1571
817.992,1556
818.467,1578
818.94,1577
819.415,1533
819.89,1562
820.365,1561
820.84,1556
821.315,1506
821.79,1557
822.265,1550
822.737,1543
823.212,1510
823.687,1536
824.162,1508
824.636,1530
825.111,1496
825.584,1500
826.058,1492
826.533,1492
827.007,1508
827.482,1528
827.954,1518
828.429,1518
828.903,1517
829.378,1537
829.852,1524
830.325,1510
830.799,1532
831.273,1526
831.748,1514
832.22,1503
832.694,1516
833.169,1490
833.643,1470
834.115,1504
834.589,1511
835.063,1489
835.535,1513
836.01,1480
836.484,1511
836.958,1502
837.43,1522
837.904,1490
838.378,1498
838.85,1518
839.323,1513
839.797,1478
840.269,1510
840.743,1488
841.217,1478
841.689,1493
842.163,1518
842.634,1481
843.108,1490
843.582,1520
844.053,1492
844.527,1494
845.001,1484
845.472,1505
845.946,1457
846.417,1504
846.891,1505
847.362,1475
847.836,1492
848.309,1496
848.781,1496
849.254,1505
849.726,1468
850.199,1502
850.67,1514
851.144,1505
851.615,1454
852.088,1510
852.559,1486
853.033,1494
853.504,1486
853.977,1486
854.448,1510
854.921,1506
855.392,1470
855.865,1499
856.336,1512
856.809,1477
857.28,1505
857.753,1486
858.224,1515
858.697,1488
859.168,1494
859.639,1520
860.112,1484
860.583,1501
861.055,1493
861.526,1476
861.997,1494
862.469,1506
862.94,1466
863.413,1518
863.883,1501
864.354,1519
864.827,1470
865.297,1521
865.77,1528
866.24,1506
866.711,1492
867.183,1472
867.654,1497
868.124,1505
868.597,1503
869.067,1512
869.537,1492
870.008,1496
870.48,1524
870.95,1519
871.42,1484
871.893,1521
872.363,1504
872.833,1484
873.305,1524
873.775,1494
874.245,1473
874.715,1509
875.188,1513
875.658,1510
876.128,1500
876.598,1540
877.068,1504
877.539,1529
878.009,1498
878.479,1505
878.949,1478
879.421,1498
879.891,1484
880.36,1522
880.83,1484
881.3,1488
881.77,1496
882.241,1526
882.711,1516
883.181,1514
883.65,1508
884.12,1536
884.589,1528
885.059,1526
885.53,1520
886,1547
886.469,1529
886.939,1534
887.408,1530
887.878,1523
888.347,1564
888.816,1550
889.286,1542
889.757,1518
890.226,1544
890.695,1520
891.165,1564
891.634,1508
892.103,1528
892.572,1519
893.041,1518
893.51,1524
893.98,1525
894.449,1510
894.918,1510
895.387,1533
895.856,1528
896.325,1539
896.794,1540
897.262,1522
897.731,1528
898.2,1514
898.669,1524
899.138,1526
899.607,1533
900.075,1519
900.544,1520
901.013,1542
901.481,1553
901.95,1508
902.419,1516
902.885,1535
903.354,1503
903.823,1523
904.291,1534
904.76,1514
905.228,1525
905.697,1508
906.165,1512
906.633,1505
907.1,1502
907.568,1539
908.036,1540
908.505,1511
908.973,1509
909.441,1521
909.91,1532
910.376,1539
910.844,1530
911.312,1494
911.78,1504
912.249,1531
912.717,1524
913.183,1512
913.651,1512
914.119,1508
914.587,1500
915.053,1512
915.521,1515
915.989,1504
916.457,1494
916.924,1500
917.39,1507
917.858,1515
918.326,1508
918.792,1505
919.26,1496
919.727,1497
920.195,1516
920.661,1520
921.128,1531
921.596,1518
922.062,1528
922.529,1494
922.997,1506
923.464,1520
923.93,1482
924.397,1537
924.865,1510
925.33,1517
925.798,1493
926.263,1512
926.731,1514
927.198,1509
927.663,1504
928.13,1530
928.598,1488
929.063,1549
929.53,1523
929.996,1511
930.463,1551
930.93,1510
931.395,1551
931.862,1534
932.327,1513
932.794,1500
933.259,1493
933.726,1548
934.193,1524
934.658,1542
935.125,1508
935.59,1508
936.057,1535
936.522,1534
936.989,1520
937.454,1510
937.92,1517
938.385,1517
938.852,1519
939.317,1536
939.783,1529
940.248,1541
940.715,1535
941.179,1530
941.646,1526
942.111,1492
942.575,1528
943.042,1542
943.506,1506
943.973,1518
944.437,1523
944.904,1535
945.368,1529
945.832,1534
946.299,1548
946.763,1528
947.229,1534
947.694,1540
948.158,1528
948.624,1532
949.089,1532
949.553,1545
950.019,1526
950.483,1536
950.949,1512
951.413,1533
951.877,1542
952.343,1546
952.807,1544
953.271,1519
953.735,1561
954.201,1542
954.665,1542
