Raman Shift (1/cm),Intensity (Counts)
1116.02,3134
1116.47,3170
1116.92,3188
1117.37,3132
1117.83,3107
1118.28,3168
1118.73,3114
1119.18,3128
1119.63,3107
1120.09,3120
1120.54,3130
1120.99,3167
1121.44,3140
1121.89,3096
1122.34,3140
1122.8,3133
1123.25,3133
1123.7,3138
1124.15,3106
1124.6,3139
1125.05,3123
1125.51,3152
1125.96,3106
1126.41,3135
1126.86,3134
1127.31,3119
1127.76,3131
1128.22,3151
1128.67,3145
1129.12,3162
1129.57,3152
1130.02,3157
1130.47,3138
1130.92,3148
1131.37,3138
1131.82,3096
1132.27,3111
1132.73,3120
1133.18,3131
1133.63,3141
1134.08,3129
1134.53,3155
1134.98,3121
1135.43,3108
1135.88,3139
1136.33,3095
1136.78,3120
1137.23,3154
1137.68,3140
1138.14,3130
1138.59,3144
1139.04,3122
1139.49,3114
1139.94,3120
1140.39,3124
1140.84,3156
1141.29,3093
1141.74,3116
1142.19,3174
1142.64,3168
1143.09,3147
1143.54,3157
1143.99,3117
1144.44,3149
1144.89,3191
1145.34,3071
1145.79,3088
1146.24,3078
1146.69,3133
1147.14,3198
1147.59,3131
1148.04,3154
1148.49,3199
1148.94,3127
1149.39,3144
1149.84,3141
1150.29,3156
1150.74,3136
1151.19,3145
1151.64,3134
1152.09,3146
1152.54,3148
1152.99,3084
1153.44,3125
1153.89,3139
1154.34,3141
1154.78,3138
1155.23,3112
1155.68,3105
1156.13,3125
1156.58,3091
1157.03,3166
1157.48,3182
1157.93,3158
1158.38,3154
1158.83,3131
1159.28,3110
1159.72,3112
1160.17,3185
1160.62,3165
1161.07,3194
1161.52,3152
1161.97,3131
1162.42,3174
1162.87,3119
1163.31,3129
1163.76,3154
1164.21,3167
1164.66,3140
1165.11,3124
1165.56,3149
1166.01,3198
1166.46,3114
1166.9,3109
1167.35,3192
1167.8,3163
1168.25,3155
1168.7,3122
1169.14,3153
1169.59,3145
1170.04,3178
1170.49,3150
1170.94,3091
1171.39,3159
1171.83,3117
1172.28,3086
1172.73,3160
1173.18,3171
1173.63,3166
1174.07,3144
1174.52,3134
1174.97,3167
1175.42,3178
1175.86,3126
1176.31,3166
1176.76,3168
1177.21,3107
1177.66,3174
1178.1,3188
1178.55,3136
1179,3190
1179.45,3162
1179.89,3176
1180.34,3206
1180.79,3187
1181.23,3225
1181.68,3168
1182.13,3164
1182.58,3209
1183.02,3150.46
1183.47,3162
1183.92,3187.17
1184.37,3161.53
1184.81,3171.96
1185.26,3195.09
1185.71,3164.47
1186.15,3169.02
1186.6,3162.36
1187.05,3168.15
1187.49,3187.64
1187.94,3185.62
1188.39,3179.13
1188.83,3184.94
1189.28,3118.97
1189.73,3150.94
1190.17,3107.72
1190.62,3165.79
1191.07,3182.35
1191.51,3083.43
1191.96,3205.46
1192.41,3141.8
1192.85,3192.97
1193.3,3184.85
1193.75,3187.94
1194.19,3124.7
1194.64,3174.55
1195.09,3138.47
1195.53,3149.59
1195.98,3135.36
1196.42,3191.49
1196.87,3124.01
1197.32,3189.31
1197.76,3134.09
1198.21,3156.09
1198.65,3110.11
1199.1,3150.12
